seed,status,A1,A2,A3,A4,reward_application,controls
4839493628709798,pass,pass,pass,pass,pass,pass,pass
5824203272323493,pass,pass,pass,pass,pass,pass,pass
5416583453552398,pass,pass,pass,pass,pass,pass,pass
5915641199943550,pass,pass,pass,pass,pass,pass,pass
7791593526799022,pass,pass,pass,pass,pass,pass,pass
6446037021347034,pass,pass,pass,pass,pass,pass,pass
6731169102465467,pass,pass,pass,pass,pass,pass,pass
6161032352166637,pass,pass,pass,pass,pass,pass,pass
5171276585367518,pass,pass,pass,pass,pass,pass,pass
8964443541417387,pass,pass,pass,pass,pass,pass,pass
4668152731454061,pass,pass,pass,pass,pass,pass,pass
8055021944073461,pass,pass,pass,pass,pass,pass,pass
4645414874172195,pass,pass,pass,pass,pass,pass,pass
4559349374876482,pass,pass,pass,pass,pass,pass,pass
6248642235812107,pass,pass,pass,pass,pass,pass,pass
7740606299285916,pass,pass,pass,pass,pass,pass,pass
8438530079517719,pass,pass,pass,pass,pass,pass,pass
7697329821168532,pass,pass,pass,pass,pass,pass,pass
5228572615782900,pass,pass,pass,pass,pass,pass,pass
4734809068909670,pass,pass,pass,pass,pass,pass,pass
8649235702589627,pass,pass,pass,pass,pass,pass,pass
7020936910460643,pass,pass,pass,pass,pass,pass,pass
4917890273771297,pass,pass,pass,pass,pass,pass,pass
6574163595900248,pass,pass,pass,pass,pass,pass,pass
6776967962592333,pass,pass,pass,pass,pass,pass,pass
5889909700171980,pass,pass,pass,pass,pass,pass,pass
6678105076049342,pass,pass,pass,pass,pass,pass,pass
6144655480366865,pass,pass,pass,pass,pass,pass,pass
6981136763047392,pass,pass,pass,pass,pass,pass,pass
7595789083544047,pass,pass,pass,pass,pass,pass,pass
5454622498382795,pass,pass,pass,pass,pass,pass,pass
5401763916206718,pass,pass,pass,pass,pass,pass,pass
8355608642281554,pass,pass,pass,pass,pass,pass,pass
6449016346726527,pass,pass,pass,pass,pass,pass,pass
7660081118366439,pass,pass,pass,pass,pass,pass,pass
8492855670921047,pass,pass,pass,pass,pass,pass,pass
7692840636152672,pass,pass,pass,pass,pass,pass,pass
5919967917738243,pass,pass,pass,pass,pass,pass,pass
6042261771010707,pass,pass,pass,pass,pass,pass,pass
8914635232222093,pass,pass,pass,pass,pass,pass,pass
6128102443285161,pass,pass,pass,pass,pass,pass,pass
5366874339062860,pass,pass,pass,pass,pass,pass,pass
6651376192194871,pass,pass,pass,pass,pass,pass,pass
7575052237601924,pass,pass,pass,pass,pass,pass,pass
6528146329238441,pass,pass,pass,pass,pass,pass,pass
8981225325718682,pass,pass,pass,pass,pass,pass,pass
4918016010068010,pass,pass,pass,pass,pass,pass,pass
4712851502488203,pass,pass,pass,pass,pass,pass,pass
6184705027385005,pass,pass,pass,pass,pass,pass,pass
8045086457858585,pass,pass,pass,pass,pass,pass,pass
8693596012911916,pass,pass,pass,pass,pass,pass,pass
5091599517038787,pass,pass,pass,pass,pass,pass,pass
6098459643596342,pass,pass,pass,pass,pass,pass,pass
6696142462644017,pass,pass,pass,pass,pass,pass,pass
4629627118589389,pass,pass,pass,pass,pass,pass,pass
5824854416582710,pass,pass,pass,pass,pass,pass,pass
5917940348557718,pass,pass,pass,pass,pass,pass,pass
6613754911146823,pass,pass,pass,pass,pass,pass,pass
6124425059368783,pass,pass,pass,pass,pass,pass,pass
7875607243634638,pass,pass,pass,pass,pass,pass,pass
4594338425848593,pass,pass,pass,pass,pass,pass,pass
7469180851094856,pass,pass,pass,pass,pass,pass,pass
7535078614042505,pass,pass,pass,pass,pass,pass,pass
6314225794604677,pass,pass,pass,pass,pass,pass,pass
8196230303617103,pass,pass,pass,pass,pass,pass,pass
7310360112239757,pass,pass,pass,pass,pass,pass,pass
4791724329847319,pass,pass,pass,pass,pass,pass,pass
7877723381095828,pass,pass,pass,pass,pass,pass,pass
8214037411905940,pass,pass,pass,pass,pass,pass,pass
5025403984679708,pass,pass,pass,pass,pass,pass,pass
5235678119041157,pass,pass,pass,pass,pass,pass,pass
8225999108192853,pass,pass,pass,pass,pass,pass,pass
6667315998835931,pass,pass,pass,pass,pass,pass,pass
5237288132460382,pass,pass,pass,pass,pass,pass,pass
5614019080642791,pass,pass,pass,pass,pass,pass,pass
4934384933071958,pass,pass,pass,pass,pass,pass,pass
4790840323324970,pass,pass,pass,pass,pass,pass,pass
8562323083606038,pass,pass,pass,pass,pass,pass,pass
6875954861080751,pass,pass,pass,pass,pass,pass,pass
6420239234672243,pass,pass,pass,pass,pass,pass,pass
6353591651743977,pass,pass,pass,pass,pass,pass,pass
4818320969196558,pass,pass,pass,pass,pass,pass,pass
7606915053474295,pass,pass,pass,pass,pass,pass,pass
5142173618644287,pass,pass,pass,pass,pass,pass,pass
6884596317159359,pass,pass,pass,pass,pass,pass,pass
6270304174084236,pass,pass,pass,pass,pass,pass,pass
7481451381440495,pass,pass,pass,pass,pass,pass,pass
8452055675080983,pass,pass,pass,pass,pass,pass,pass
6964425690145252,pass,pass,pass,pass,pass,pass,pass
5750132055120275,pass,pass,pass,pass,pass,pass,pass
6333791567046995,pass,pass,pass,pass,pass,pass,pass
7641433606823482,pass,pass,pass,pass,pass,pass,pass
4698310190310158,pass,pass,pass,pass,pass,pass,pass
7094412891744514,pass,pass,pass,pass,pass,pass,pass
7860141675666047,pass,pass,pass,pass,pass,pass,pass
6772378719318241,pass,pass,pass,pass,pass,pass,pass
8768594457502673,pass,pass,pass,pass,pass,pass,pass
5692464517576902,pass,pass,pass,pass,pass,pass,pass
7159977888392605,pass,pass,pass,pass,pass,pass,pass
7991443594238758,pass,pass,pass,pass,pass,pass,pass
6520411146449079,pass,pass,pass,pass,pass,pass,pass
8217813976253901,pass,pass,pass,pass,pass,pass,pass
5414212147330063,pass,pass,pass,pass,pass,pass,pass
5848428021678382,pass,pass,pass,pass,pass,pass,pass
5943619528915862,pass,pass,pass,pass,pass,pass,pass
6481769790158853,pass,pass,pass,pass,pass,pass,pass
6387549873733718,pass,pass,pass,pass,pass,pass,pass
5673474216335170,pass,pass,pass,pass,pass,pass,pass
7629253261357608,pass,pass,pass,pass,pass,pass,pass
6655473910103985,pass,pass,pass,pass,pass,pass,pass
5520618229191877,pass,pass,pass,pass,pass,pass,pass
4694475426462073,pass,pass,pass,pass,pass,pass,pass
6110420089429457,pass,pass,pass,pass,pass,pass,pass
7994176069948949,pass,pass,pass,pass,pass,pass,pass
6284178634504888,pass,pass,pass,pass,pass,pass,pass
5785000697446952,pass,pass,pass,pass,pass,pass,pass
6461638153917512,pass,pass,pass,pass,pass,pass,pass
6986018626100690,pass,pass,pass,pass,pass,pass,pass
7537474338073472,pass,pass,pass,pass,pass,pass,pass
8133749289185706,pass,pass,pass,pass,pass,pass,pass
7225903038053257,pass,pass,pass,pass,pass,pass,pass
7616144123036775,pass,pass,pass,pass,pass,pass,pass
5421981705728584,pass,pass,pass,pass,pass,pass,pass
8352221582645894,pass,pass,pass,pass,pass,pass,pass
8141008107437894,pass,pass,pass,pass,pass,pass,pass
5658778575802981,pass,pass,pass,pass,pass,pass,pass
5188100307696330,pass,pass,pass,pass,pass,pass,pass
5349697034682247,pass,pass,pass,pass,pass,pass,pass
5892023910564976,pass,pass,pass,pass,pass,pass,pass
4719006494246471,pass,pass,pass,pass,pass,pass,pass
7480338078927329,pass,pass,pass,pass,pass,pass,pass
5682435300199440,pass,pass,pass,pass,pass,pass,pass
5715234090722304,pass,pass,pass,pass,pass,pass,pass
8043276488878416,pass,pass,pass,pass,pass,pass,pass
5493137066848468,pass,pass,pass,pass,pass,pass,pass
5722911223097290,pass,pass,pass,pass,pass,pass,pass
8091329465763644,pass,pass,pass,pass,pass,pass,pass
8785937066158564,pass,pass,pass,pass,pass,pass,pass
8336954698201394,pass,pass,pass,pass,pass,pass,pass
6200393380417407,pass,pass,pass,pass,pass,pass,pass
8092181021544952,pass,pass,pass,pass,pass,pass,pass
5449837502654621,pass,pass,pass,pass,pass,pass,pass
6746412394737936,pass,pass,pass,pass,pass,pass,pass
7332115690241677,pass,pass,pass,pass,pass,pass,pass
7277311281215479,pass,pass,pass,pass,pass,pass,pass
8994117894674010,pass,pass,pass,pass,pass,pass,pass
7770920191232852,pass,pass,pass,pass,pass,pass,pass
5943127109914898,pass,pass,pass,pass,pass,pass,pass
4696976784094615,pass,pass,pass,pass,pass,pass,pass
5829194700104408,pass,pass,pass,pass,pass,pass,pass
4605880942018644,pass,pass,pass,pass,pass,pass,pass
6508771656368819,pass,pass,pass,pass,pass,pass,pass
7069838543709154,pass,pass,pass,pass,pass,pass,pass
7345837512639296,pass,pass,pass,pass,pass,pass,pass
6325969686110776,pass,pass,pass,pass,pass,pass,pass
7838619259290720,pass,pass,pass,pass,pass,pass,pass
7012711611168942,pass,pass,pass,pass,pass,pass,pass
5365287010037329,pass,pass,pass,pass,pass,pass,pass
5365444157597157,pass,pass,pass,pass,pass,pass,pass
6001223018722123,pass,pass,pass,pass,pass,pass,pass
8619751047971987,pass,pass,pass,pass,pass,pass,pass
5457477550572419,pass,pass,pass,pass,pass,pass,pass
4654633649782516,pass,pass,pass,pass,pass,pass,pass
7249946721753931,pass,pass,pass,pass,pass,pass,pass
5087570748890409,pass,pass,pass,pass,pass,pass,pass
8856299467146934,pass,pass,pass,pass,pass,pass,pass
8991890538260978,pass,pass,pass,pass,pass,pass,pass
6617319835029857,pass,pass,pass,pass,pass,pass,pass
7560358128876182,pass,pass,pass,pass,pass,pass,pass
7854113503392730,pass,pass,pass,pass,pass,pass,pass
4525590732621207,pass,pass,pass,pass,pass,pass,pass
8913919776434873,pass,pass,pass,pass,pass,pass,pass
5428602983823627,pass,pass,pass,pass,pass,pass,pass
6348304280020942,pass,pass,pass,pass,pass,pass,pass
5175438790908542,pass,pass,pass,pass,pass,pass,pass
6208745084770564,pass,pass,pass,pass,pass,pass,pass
6619480709064998,pass,pass,pass,pass,pass,pass,pass
4506739759613900,pass,pass,pass,pass,pass,pass,pass
8455411264749547,pass,pass,pass,pass,pass,pass,pass
6055758471880065,pass,pass,pass,pass,pass,pass,pass
5258786561132848,pass,pass,pass,pass,pass,pass,pass
8628684571108326,pass,pass,pass,pass,pass,pass,pass
7550665549123708,pass,pass,pass,pass,pass,pass,pass
8954237481963785,pass,pass,pass,pass,pass,pass,pass
7875955280522336,pass,pass,pass,pass,pass,pass,pass
4763179645581659,pass,pass,pass,pass,pass,pass,pass
7696049072009324,pass,pass,pass,pass,pass,pass,pass
8258666453689621,pass,pass,pass,pass,pass,pass,pass
5432508365103505,pass,pass,pass,pass,pass,pass,pass
8705035063229913,pass,pass,pass,pass,pass,pass,pass
6544207421879099,pass,pass,pass,pass,pass,pass,pass
7923819491954020,pass,pass,pass,pass,pass,pass,pass
8401987328717310,pass,pass,pass,pass,pass,pass,pass
7139107514559203,pass,pass,pass,pass,pass,pass,pass
6780289310598183,pass,pass,pass,pass,pass,pass,pass
6598121846672593,pass,pass,pass,pass,pass,pass,pass
4564191085795428,pass,pass,pass,pass,pass,pass,pass
7790070734371461,pass,pass,pass,pass,pass,pass,pass
5499306747128053,pass,pass,pass,pass,pass,pass,pass
6422334544734794,pass,pass,pass,pass,pass,pass,pass
6495792966842135,pass,pass,pass,pass,pass,pass,pass
6238399061702024,pass,pass,pass,pass,pass,pass,pass
8634757954352716,pass,pass,pass,pass,pass,pass,pass
5268019483899947,pass,pass,pass,pass,pass,pass,pass
5257109268209262,pass,pass,pass,pass,pass,pass,pass
5282723390948957,pass,pass,pass,pass,pass,pass,pass
7030347460823893,pass,pass,pass,pass,pass,pass,pass
8679652250198508,pass,pass,pass,pass,pass,pass,pass
4660141406858217,pass,pass,pass,pass,pass,pass,pass
7069402740782394,pass,pass,pass,pass,pass,pass,pass
7284405409746156,pass,pass,pass,pass,pass,pass,pass
7349756433790257,pass,pass,pass,pass,pass,pass,pass
7347697705243870,pass,pass,pass,pass,pass,pass,pass
6894725457385713,pass,pass,pass,pass,pass,pass,pass
4972991157021443,pass,pass,pass,pass,pass,pass,pass
4617904987579316,pass,pass,pass,pass,pass,pass,pass
4661598066572013,pass,pass,pass,pass,pass,pass,pass
6157563140556472,pass,pass,pass,pass,pass,pass,pass
6342750676635712,pass,pass,pass,pass,pass,pass,pass
7104544727330730,pass,pass,pass,pass,pass,pass,pass
5621333069997329,pass,pass,pass,pass,pass,pass,pass
4948345146571700,pass,pass,pass,pass,pass,pass,pass
4529398161663329,pass,pass,pass,pass,pass,pass,pass
5269315597612444,pass,pass,pass,pass,pass,pass,pass
7159334136624558,pass,pass,pass,pass,pass,pass,pass
8275260600630220,pass,pass,pass,pass,pass,pass,pass
6229581238288817,pass,pass,pass,pass,pass,pass,pass
7126398891845391,pass,pass,pass,pass,pass,pass,pass
7208095542528745,pass,pass,pass,pass,pass,pass,pass
6726862491879038,pass,pass,pass,pass,pass,pass,pass
5167721776594332,pass,pass,pass,pass,pass,pass,pass
5692514303383627,pass,pass,pass,pass,pass,pass,pass
8700084720670709,pass,pass,pass,pass,pass,pass,pass
6480892431088597,pass,pass,pass,pass,pass,pass,pass
5328872199971884,pass,pass,pass,pass,pass,pass,pass
5320650633870144,pass,pass,pass,pass,pass,pass,pass
6250800855998601,pass,pass,pass,pass,pass,pass,pass
8462140071895269,pass,pass,pass,pass,pass,pass,pass
6149384945811947,pass,pass,pass,pass,pass,pass,pass
7523813293945590,pass,pass,pass,pass,pass,pass,pass
8298398935017098,pass,pass,pass,pass,pass,pass,pass
6951818046760202,pass,pass,pass,pass,pass,pass,pass
6032420163756998,pass,pass,pass,pass,pass,pass,pass
5379916797793702,pass,pass,pass,pass,pass,pass,pass
4769627744755173,pass,pass,pass,pass,pass,pass,pass
7353047040536760,pass,pass,pass,pass,pass,pass,pass
9007000185872629,pass,pass,pass,pass,pass,pass,pass
7079372861089022,pass,pass,pass,pass,pass,pass,pass
7373340679148561,pass,pass,pass,pass,pass,pass,pass
7538704048390080,pass,pass,pass,pass,pass,pass,pass
6713894848150077,pass,pass,pass,pass,pass,pass,pass
6393066227084103,pass,pass,pass,pass,pass,pass,pass
8503327236471138,pass,pass,pass,pass,pass,pass,pass
5975420106107997,pass,pass,pass,pass,pass,pass,pass
5813832471873436,pass,pass,pass,pass,pass,pass,pass
6314554946491146,pass,pass,pass,pass,pass,pass,pass
8916081640848378,pass,pass,pass,pass,pass,pass,pass
8929952160524854,pass,pass,pass,pass,pass,pass,pass
7553166187614033,pass,pass,pass,pass,pass,pass,pass
4686494083255236,pass,pass,pass,pass,pass,pass,pass
6805114347171682,pass,pass,pass,pass,pass,pass,pass
8058544366064979,pass,pass,pass,pass,pass,pass,pass
5807533327193102,pass,pass,pass,pass,pass,pass,pass
8892926438826584,pass,pass,pass,pass,pass,pass,pass
8788627409634270,pass,pass,pass,pass,pass,pass,pass
7688049468320313,pass,pass,pass,pass,pass,pass,pass
4956849168022989,pass,pass,pass,pass,pass,pass,pass
5138352666877389,pass,pass,pass,pass,pass,pass,pass
5669338138327087,pass,pass,pass,pass,pass,pass,pass
5247960505918137,pass,pass,pass,pass,pass,pass,pass
5828247019513498,pass,pass,pass,pass,pass,pass,pass
7254676548593786,pass,pass,pass,pass,pass,pass,pass
4595784534195734,pass,pass,pass,pass,pass,pass,pass
8095956562015357,pass,pass,pass,pass,pass,pass,pass
5847039912554047,pass,pass,pass,pass,pass,pass,pass
6753834607070692,pass,pass,pass,pass,pass,pass,pass
6145020578444223,pass,pass,pass,pass,pass,pass,pass
5240660897683093,pass,pass,pass,pass,pass,pass,pass
6572083261072846,pass,pass,pass,pass,pass,pass,pass
4528167949795368,pass,pass,pass,pass,pass,pass,pass
7194622940698444,pass,pass,pass,pass,pass,pass,pass
6178512754307603,pass,pass,pass,pass,pass,pass,pass
6106035701821435,pass,pass,pass,pass,pass,pass,pass
4680134623982897,pass,pass,pass,pass,pass,pass,pass
8274433021142319,pass,pass,pass,pass,pass,pass,pass
6798013998527673,pass,pass,pass,pass,pass,pass,pass
4911713170791865,pass,pass,pass,pass,pass,pass,pass
5056201014399179,pass,pass,pass,pass,pass,pass,pass
8569054703793857,pass,pass,pass,pass,pass,pass,pass
4699580194147001,pass,pass,pass,pass,pass,pass,pass
7048864844662494,pass,pass,pass,pass,pass,pass,pass
8796993784271252,pass,pass,pass,pass,pass,pass,pass
8567796641600686,pass,pass,pass,pass,pass,pass,pass
8693708505861632,pass,pass,pass,pass,pass,pass,pass
8447695212510338,pass,pass,pass,pass,pass,pass,pass
7376897211441164,pass,pass,pass,pass,pass,pass,pass
7665373344845134,pass,pass,pass,pass,pass,pass,pass
5103962951979309,pass,pass,pass,pass,pass,pass,pass
4531411118106742,pass,pass,pass,pass,pass,pass,pass
6245760158822776,pass,pass,pass,pass,pass,pass,pass
5187990724532159,pass,pass,pass,pass,pass,pass,pass
5171476996463958,pass,pass,pass,pass,pass,pass,pass
4668212906132601,pass,pass,pass,pass,pass,pass,pass
6603279606852785,pass,pass,pass,pass,pass,pass,pass
8618002265329928,pass,pass,pass,pass,pass,pass,pass
5638985731817786,pass,pass,pass,pass,pass,pass,pass
6830206665860415,pass,pass,pass,pass,pass,pass,pass
7698741385612395,pass,pass,pass,pass,pass,pass,pass
5411041893334660,pass,pass,pass,pass,pass,pass,pass
7294228965045266,pass,pass,pass,pass,pass,pass,pass
8626390046224340,pass,pass,pass,pass,pass,pass,pass
7574581156743973,pass,pass,pass,pass,pass,pass,pass
7600820203601454,pass,pass,pass,pass,pass,pass,pass
8929206611991801,pass,pass,pass,pass,pass,pass,pass
6900048993075512,pass,pass,pass,pass,pass,pass,pass
5175426463524091,pass,pass,pass,pass,pass,pass,pass
5701933456983222,pass,pass,pass,pass,pass,pass,pass
8458432618870198,pass,pass,pass,pass,pass,pass,pass
5512406005711640,pass,pass,pass,pass,pass,pass,pass
8132885486322504,pass,pass,pass,pass,pass,pass,pass
6362181083759824,pass,pass,pass,pass,pass,pass,pass
8068891031814092,pass,pass,pass,pass,pass,pass,pass
6586133627771305,pass,pass,pass,pass,pass,pass,pass
5308906217970739,pass,pass,pass,pass,pass,pass,pass
6477202534809944,pass,pass,pass,pass,pass,pass,pass
7595238906593823,pass,pass,pass,pass,pass,pass,pass
6894898852798671,pass,pass,pass,pass,pass,pass,pass
6866606642035744,pass,pass,pass,pass,pass,pass,pass
5178115573784760,pass,pass,pass,pass,pass,pass,pass
6608911689536610,pass,pass,pass,pass,pass,pass,pass
5150851167228370,pass,pass,pass,pass,pass,pass,pass
7447117066915054,pass,pass,pass,pass,pass,pass,pass
7265140916789096,pass,pass,pass,pass,pass,pass,pass
8222570450007611,pass,pass,pass,pass,pass,pass,pass
7520703083490026,pass,pass,pass,pass,pass,pass,pass
7937289334576025,pass,pass,pass,pass,pass,pass,pass
8031251621782686,pass,pass,pass,pass,pass,pass,pass
4675980289319755,pass,pass,pass,pass,pass,pass,pass
8378455272928964,pass,pass,pass,pass,pass,pass,pass
6291057847018879,pass,pass,pass,pass,pass,pass,pass
8697261069071826,pass,pass,pass,pass,pass,pass,pass
7974710277293019,pass,pass,pass,pass,pass,pass,pass
5704777099179131,pass,pass,pass,pass,pass,pass,pass
4667587628074147,pass,pass,pass,pass,pass,pass,pass
7300265901521981,pass,pass,pass,pass,pass,pass,pass
5160674985297922,pass,pass,pass,pass,pass,pass,pass
7691361288312167,pass,pass,pass,pass,pass,pass,pass
7711200585215954,pass,pass,pass,pass,pass,pass,pass
6083486921482392,pass,pass,pass,pass,pass,pass,pass
5106510535916359,pass,pass,pass,pass,pass,pass,pass
7204979993128272,pass,pass,pass,pass,pass,pass,pass
5092793989196009,pass,pass,pass,pass,pass,pass,pass
5769749065959592,pass,pass,pass,pass,pass,pass,pass
8283379093632555,pass,pass,pass,pass,pass,pass,pass
5318163134531828,pass,pass,pass,pass,pass,pass,pass
6235702673872192,pass,pass,pass,pass,pass,pass,pass
7922798380488413,pass,pass,pass,pass,pass,pass,pass
8223471017401204,pass,pass,pass,pass,pass,pass,pass
6349829580056777,pass,pass,pass,pass,pass,pass,pass
7275086371778332,pass,pass,pass,pass,pass,pass,pass
6564018252999168,pass,pass,pass,pass,pass,pass,pass
6064599914951974,pass,pass,pass,pass,pass,pass,pass
4933322157113647,pass,pass,pass,pass,pass,pass,pass
7961592451196936,pass,pass,pass,pass,pass,pass,pass
5927474878987130,pass,pass,pass,pass,pass,pass,pass
4886114155692930,pass,pass,pass,pass,pass,pass,pass
8673219440661412,pass,pass,pass,pass,pass,pass,pass
6476000843783626,pass,pass,pass,pass,pass,pass,pass
6676889649104724,pass,pass,pass,pass,pass,pass,pass
6635099986652598,pass,pass,pass,pass,pass,pass,pass
7010365018745928,pass,pass,pass,pass,pass,pass,pass
