seed,system,rho,execution_status,H_bits,m_bits,consumer_value,comparator_value,class_benefit,observed_benefit,eligible_mass,eligible_reward_drop,no_op_fraction,collapsed,expected_control_diagnostic,error
5405796570432610,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5405796570432610,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8640927588617627,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8640927588617627,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8640927588617627,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8640927588617627,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8640927588617627,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6021815605533097,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6021815605533097,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6021815605533097,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6021815605533097,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6021815605533097,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8163156671399542,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8163156671399542,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8163156671399542,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8163156671399542,learned,0.75,evaluated,0.25,0.25,1.0,0.8750000000000001,0.125,0.12499999999999989,0.25,1.0,0.0,False,,
8163156671399542,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6118973495324452,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6118973495324452,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6118973495324452,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
6118973495324452,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6118973495324452,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8820883060662423,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8820883060662423,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8820883060662423,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8820883060662423,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8820883060662423,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8082664755755800,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8082664755755800,learned,0.25,evaluated,0.75,0.75,1.0,0.6250000000000001,0.375,0.3749999999999999,0.75,1.0,0.0,False,,
8082664755755800,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
8082664755755800,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8082664755755800,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5091417859571657,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5091417859571657,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
5091417859571657,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
5091417859571657,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5091417859571657,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,True,,
6656778425370462,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6656778425370462,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6656778425370462,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6656778425370462,learned,0.75,evaluated,0.25,0.25,1.0,0.8749999999999999,0.125,0.1250000000000001,0.25,1.0,0.0,False,,
6656778425370462,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8836421164323776,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8836421164323776,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8836421164323776,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8836421164323776,learned,0.75,evaluated,0.25,0.25,1.0,0.8750000000000001,0.125,0.12499999999999989,0.25,1.0,0.0,False,,
8836421164323776,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6972562656253098,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6972562656253098,learned,0.25,evaluated,0.75,0.75,1.0,0.6250000000000001,0.375,0.3749999999999999,0.75,1.0,0.0,False,,
6972562656253098,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6972562656253098,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6972562656253098,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6855703105561904,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6855703105561904,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6855703105561904,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
6855703105561904,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6855703105561904,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
6719922874734692,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
6719922874734692,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
6719922874734692,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
6719922874734692,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
6719922874734692,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
4509633139869090,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
4509633139869090,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
4509633139869090,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
4509633139869090,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
4509633139869090,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5440373874744259,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5440373874744259,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
5440373874744259,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
5440373874744259,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5440373874744259,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7369126503459937,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
7369126503459937,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
7369126503459937,learned,0.5,evaluated,0.5,0.5,1.0,0.7500000000000001,0.25,0.2499999999999999,0.5,1.0,0.0,False,,
7369126503459937,learned,0.75,evaluated,0.25,0.25,1.0,0.8750000000000001,0.125,0.12499999999999989,0.25,1.0,0.0,False,,
7369126503459937,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
5824059441962779,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5824059441962779,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
5824059441962779,learned,0.5,evaluated,0.5,0.5,1.0,0.7499999999999999,0.25,0.2500000000000001,0.5,1.0,0.0,False,,
5824059441962779,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5824059441962779,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
8232983095136994,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
8232983095136994,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
8232983095136994,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
8232983095136994,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
8232983095136994,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,True,,
5288836941123258,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
5288836941123258,learned,0.25,evaluated,0.75,0.75,1.0,0.625,0.375,0.375,0.75,1.0,0.0,False,,
5288836941123258,learned,0.5,evaluated,0.5,0.5,1.0,0.75,0.25,0.25,0.5,1.0,0.0,False,,
5288836941123258,learned,0.75,evaluated,0.25,0.25,1.0,0.875,0.125,0.125,0.25,1.0,0.0,False,,
5288836941123258,learned,1,evaluated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,False,,
7591317033749127,learned,0,evaluated,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,False,,
